"","3MIN","7.5MIN","15MIN","30MIN","60MIN","110MIN","2.5H","5H","0MIN"
"YER074W-A",-0.22549924,-0.35050042,-0.28820029,-0.13480014,-0.11720046,-0.20229967,-0.18030076,-0.21139948,0
"YER075C",0.2092038,0.053000088,-0.082800469,-0.31870007,-0.53720008,-1.1648003,-1.1695013,-1.1052001,0
"YER076C",-0.11049998,-0.23380007,-0.18350023,-0.044599402,0.12730311,0.18130614,0.1790014,0.19149948,0
"YER077C",0.20780541,0.17559486,0.27810373,0.41700183,0.21750372,0.21910345,0.39560028,0.25299688,0
"YER078C",-0.66790049,-0.55239965,-0.58589911,-0.78250125,-0.7716997,-0.34059966,-0.5019003,-0.41790072,0
"YER079W",-1.7909984,-1.5512005,-1.5784002,-2.3206014,-3.233298,-2.8733971,-3.1697966,-2.7685971,0
"YER080W",-1.7881007,-1.7739009,-1.3782993,-1.607599,-1.4473003,-0.75230091,-0.85679991,-0.64950049,0
"YER081W",-0.9019012,-0.91579964,-1.3286015,-1.3244008,0.50860106,-1.8797011,-1.6307022,-1.9117987,0
"YER082C",1.3221993,1.2603027,1.2521976,1.3850997,0.81949652,0.68939757,0.74550411,0.63279866,0
"YER083C",0.039896399,0.16810285,0.2168956,0.1833023,0.19489393,0.35689877,0.2309039,0.31700299,0
"YER084W",-0.035499338,0.10510142,0.18340394,0.59299993,0.45140368,0.2190043,0.29470014,0.33549469,0
"YER085C",0.02849843,0.1280954,0.053194767,0.091706603,0.017693909,-0.052000276,-0.055099585,-0.056900841,0
"YER086W",0.45950506,0.67100345,0.71469832,0.43880383,0.19149948,0.28050503,0.16559684,0.093898163,0
"YER087C-B",-0.11940067,-0.058600671,-0.1052994,-0.27380005,0.23370403,0.22410203,0.1042964,0.32139709,0
"YER087W",-0.43940047,-0.48420077,-0.51559991,-0.50350084,-0.10910043,0.21669698,0.25529527,0.34680375,0
"YER088C",-0.86400029,-1.2190013,-1.2774011,-1.3957009,-1.7899005,-1.526901,-1.751402,-1.6722023,0
"YER089C",0.66369984,1.049101,0.83829832,1.0718999,1.9073983,1.8059982,1.5312991,1.6831979,0
"YER090W",0.36159994,0.55140281,0.41100314,0.14780162,0.21030158,0.33740283,0.32620367,0.29060134,0
"YER091C",1.1113986,1.3139017,1.2376983,-0.59380078,-1.5747985,0.25730034,-0.055300447,0.38349694,0
"YER091C-A",0.18469923,0.16919385,0.14519485,0.11220636,0.44519698,0.075902242,0.05540392,0.042602317,0
"YER092W",0.10640193,0.01980153,0.052805383,0.044296188,-0.29260067,-0.73290052,-0.54100073,-0.57700064,0
"YER093C",0.19939909,0.1607008,0.17619509,0.3102005,0.18030065,-0.095900544,0.00930417,-0.074000581,0
"YER093C-A",0.12909834,0.29060134,0.14349791,-0.003499892,0.12979735,-0.071900332,0.052902739,-0.10810025,0
"YER094C",-0.47389913,-0.29700033,-0.060800508,-0.67410016,-0.30200028,0.33610054,0.28389807,0.25149491,0
"YER095W",0.044100304,-0.12859948,-0.43759979,-0.86309991,-0.19839929,-0.39140079,-0.33530054,-0.38940009,0
"YER096W",0.28319876,0.43700397,0.63429587,0.85170307,0.17799431,-0.34199971,-0.35549947,-0.31519921,0
"YER097W",-1.0998995,-1.0328993,-1.1374002,-1.3076014,-1.2834989,-1.4201016,-1.4280999,-1.3836988,0
"YER098W",-1.2733989,-1.4764983,-1.5089987,-1.7595025,-1.7683022,-2.1374002,-2.0003001,-2.0011026,0
"YER099C",0.20189729,0.22280456,0.35059908,0.31369862,-0.038499649,-0.058300202,-0.00330033,-0.02119959,0
"YER100W",-0.39089941,-0.53749949,-0.40660033,-0.25529982,-0.041200374,-0.013699751,0.01980153,0.11560594,0
"YER101C",-0.96439861,-1.2331013,-1.2437008,-1.1963993,-1.0134012,-0.9604994,-0.92190121,-0.90299877,0
"YER103W",0.17600356,0.096599207,-0.28509951,-1.1108006,-2.3310023,-2.9243989,-2.4325013,-2.9782019,0
"YER104W",-0.49880037,-0.55400004,-0.66299916,-0.6717012,-0.33379969,-0.3915995,-0.37360011,-0.43380053,0
"YER105C",1.2016025,1.2888015,1.2896987,1.3663026,1.1651016,1.2427001,1.1748985,1.201201,0
"YER106W",-0.41049919,-0.43080059,-0.45319985,-0.47530039,-0.54679957,-0.55279958,-0.51649943,-0.53509967,0
"YER107C",0.27419605,0.16929649,0.17420186,0.37870027,0.66029888,0.92839686,0.84169944,0.75650242,0
"YER109C",0.040106886,-0.079799706,-0.10840039,-0.28270019,-0.13109993,-0.012600543,-0.1367006,-0.026400479,0
"YER110C",1.3964993,1.6308993,1.6398017,1.7794993,1.5670976,1.2632989,1.2605015,1.1784979,0
"YER111C",0.47690008,0.28580464,0.18400093,0.59989856,1.627999,0.79999907,0.87990177,0.75320231,0
"YER112W",-0.30900013,-0.24550069,-0.097299684,-0.010500546,0.41709908,0.68140429,0.69900074,0.79339652,0
"YER113C",0.5982985,0.58340355,0.55669917,0.8548973,1.1492984,0.9570974,0.95500027,0.93520325,0
"YER114C",0.4743997,0.38519908,0.35350397,0.31080543,-0.022000649,-0.08710032,-0.10910043,-0.1563007,0
"YER115C",-0.57580025,-0.71640057,-0.78070073,-0.68819931,-0.23540076,-0.060800508,-0.029299456,-0.13250043,0
"YER116C",-0.58740055,-0.88099981,-0.99149877,-1.1606015,-1.2581008,-1.4715007,-1.3856011,-1.4162999,0
"YER117W",1.1528,1.3603025,1.5318979,1.7186005,1.7124021,1.8054988,1.7186005,1.816399,0
"YER118C",0.64510214,0.89659736,0.84190068,1.2685003,1.7827021,1.6488013,1.6297017,1.5925982,0
"YER119C",-0.62320065,-0.1937997,-0.21409964,-0.702501,-0.61579985,-0.052399668,-0.34920052,-0.039999922,0
"YER119C-A",-0.10470048,0.00370297,-0.070199914,-0.3582006,-0.43509899,-0.36499977,-0.41549924,-0.34979976,0
"YER120W",0.46030222,0.36159994,0.48689969,0.44999973,0.55169811,1.0453032,0.99859991,1.0338987,0
"YER121W",-0.068200473,-0.1481994,-0.39879984,-1.7454979,-2.3010028,-2.4380962,-2.5032984,-2.3137998,0
"YER122C",0.005299373,0.1110046,-0.046700487,-0.077899603,0.21499513,0.33509446,0.26749984,0.37999794,0
"YER123W",0.020797306,0.28209577,0.16150076,0.011495639,-0.059200294,-0.17549933,-0.32719995,-0.19839929,0
"YER124C",-0.003400108,0.36330567,0.050606174,0.12660289,0.50329785,0.96890175,0.61669645,1.2075993,0
"YER125W",0.033102269,0.10389372,0.035595759,0.32409628,0.37760133,0.5740046,0.43339749,0.44990468,0
"YER126C",1.514198,1.5441985,1.5624989,1.7450006,1.2125009,1.087198,1.1078017,1.0271965,0
"YER127W",0.60379605,0.62009839,0.63820362,0.66909935,0.50209633,0.3261001,0.37439964,0.30159935,0
"YER128W",0.17110432,0.34389669,0.18870475,-0.35979926,-0.58279936,-0.64659992,-0.71469959,-0.66180039,0
"YER129W",-0.15559988,-0.10379946,-0.055300447,0.058205648,0.16770475,0.11399381,0.16950175,0.12260646,0
"YER130C",-1.1485,-1.139401,-1.0676001,-0.7688011,-0.79259937,-0.60960085,-0.76930018,-0.58560031,0
"YER131W",1.6317003,1.5122977,1.6325009,2.0290995,1.7375007,1.9816006,1.9581003,1.8108009,0
